,lat,lon,elevation
150,-41.41919851183558,166.5615234375,
151,-41.34296088931667,166.5615234375,
152,-41.26672326679777,166.5615234375,
153,-41.19048564427886,166.5615234375,
154,-41.11424802175995,166.5615234375,
155,-41.038010399241045,166.5615234375,
156,-40.961772776722135,166.5615234375,
157,-40.88553515420323,166.5615234375,
158,-40.80929753168432,166.5615234375,
159,-40.73305990916541,166.5615234375,
160,-40.65682228664651,166.5615234375,
161,-40.5805846641276,166.5615234375,
162,-46.6795944656402,166.658203125,
163,-46.60335684312129,166.658203125,
164,-46.52711922060239,166.658203125,
165,-46.45088159808348,166.658203125,
166,-46.37464397556457,166.658203125,
167,-46.298406353045664,166.658203125,
168,-46.222168730526754,166.658203125,
169,-46.14593110800785,166.658203125,
170,-46.06969348548894,166.658203125,5.56408166885376
