,x,y,lon,lat,elevation
3610,29,101,169.35205078125,-45.205699436259366,165.6674041748047
3611,29,102,169.35205078125,-45.31522482849646,
3612,29,103,169.35205078125,-45.42475022073356,
3613,29,104,169.35205078125,-45.53427561297065,340.91131591796875
3614,29,105,169.35205078125,-45.64380100520775,
3615,29,106,169.35205078125,-45.753326397444845,
3616,29,107,169.35205078125,-45.86285178968194,292.6872863769531
3617,29,108,169.35205078125,-45.97237718191904,
3618,29,109,169.35205078125,-46.08190257415614,
3619,29,110,169.35205078125,-46.191427966393235,
3620,29,111,169.35205078125,-46.30095335863033,305.61431884765625
3621,29,112,169.35205078125,-46.410478750867426,
3622,29,113,169.35205078125,-46.52000414310452,
3623,29,114,169.35205078125,-46.62952953534162,125.56951141357422
3624,29,115,169.35205078125,-46.739054927578714,0.0
3625,29,116,169.35205078125,-46.84858031981581,0.0
3626,29,117,169.35205078125,-46.95810571205291,0.0
3627,29,118,169.35205078125,-47.06763110429001,0.0
3628,29,119,169.35205078125,-47.177156496527104,0.0
3629,29,120,169.35205078125,-47.2866818887642,0.0
3630,30,0,169.453125,-34.1436348203126,0.0
3631,30,1,169.453125,-34.253160212549695,0.0
3632,30,2,169.453125,-34.36268560478679,0.0
3633,30,3,169.453125,-34.47221099702389,0.0
3634,30,4,169.453125,-34.58173638926098,0.0
3635,30,5,169.453125,-34.691261781498085,0.0
3636,30,6,169.453125,-34.80078717373518,0.0
3637,30,7,169.453125,-34.910312565972276,0.0
3638,30,8,169.453125,-35.01983795820937,0.0
3639,30,9,169.453125,-35.12936335044647,0.0
3640,30,10,169.453125,-35.238888742683564,0.0
3641,30,11,169.453125,-35.34841413492066,0.0
3642,30,12,169.453125,-35.45793952715776,0.0
3643,30,13,169.453125,-35.56746491939485,0.0
3644,30,14,169.453125,-35.676990311631954,0.0
3645,30,15,169.453125,-35.78651570386905,0.0
3646,30,16,169.453125,-35.896041096106146,0.0
3647,30,17,169.453125,-36.00556648834324,0.0
3648,30,18,169.453125,-36.11509188058034,0.0
3649,30,19,169.453125,-36.22461727281744,0.0
3650,30,20,169.453125,-36.33414266505453,0.0
3651,30,21,169.453125,-36.44366805729163,0.0
3652,30,22,169.453125,-36.55319344952873,0.0
3653,30,23,169.453125,-36.66271884176582,0.0
3654,30,24,169.453125,-36.77224423400292,0.0
3655,30,25,169.453125,-36.881769626240015,0.0
3656,30,26,169.453125,-36.99129501847711,0.0
3657,30,27,169.453125,-37.100820410714206,0.0
3658,30,28,169.453125,-37.21034580295131,0.0
3659,30,29,169.453125,-37.3198711951884,0.0
3660,30,30,169.453125,-37.4293965874255,0.0
3661,30,31,169.453125,-37.5389219796626,0.0
3662,30,32,169.453125,-37.64844737189969,0.0
3663,30,33,169.453125,-37.75797276413679,0.0
3664,30,34,169.453125,-37.867498156373884,0.0
