hash;;author;;date;;message;;additions;;additions_kt;;additions_py;;deletions;;deletions_kt;;deletions_py
7a446304ed0f72f8b46ea659424992529b8a11ef;;Igor Alshannikov;;Wed Nov 20 18:05:50 2024 -0500;;Get rid of SizingPolicyAdapter, use SizingPolicy directly.;;306;;306;;0;;309;;309;;0
af1d68a45a873e03dbd3455b42025eded04b5995;;Ivan Kupriyanov;;Tue Nov 19 19:36:52 2024 +0100;;Vega-Lite: do not fail on encoding entries that have type other than Map<*, *>;;4;;4;;0;;4;;4;;0
241ee55771a95ac69eba8494ce5e05fc1b327e5f;;Valentin Dovidaytis;;Tue Nov 19 15:51:05 2024 +0100;;Remove static links for Darwin;;6;;0;;6;;6;;0;;6
c0d2015a24882243305c16f3b08bd34fd07b2387;;Ivan Kupriyanov;;Mon Nov 18 22:03:10 2024 +0100;;Fix rounding error in e format: format(".0e", 9.9e-9) incorrectly returned "10e-9";;70;;70;;0;;43;;43;;0
e5b601e5c10568a7ebf4db06bff3e768070010c4;;Artem Smirnov;;Fri Nov 15 19:40:28 2024 +0100;;Changes in NumericBreakFormatter (#1247);;131;;131;;0;;149;;149;;0
c90515b54a53a4054cc27aaba36575f673b90f83;;Ivan Kupriyanov;;Fri Nov 15 18:24:05 2024 +0100;;Fix #1246;;26;;24;;0;;2;;1;;0
883f4c596c1bba91b60c3f26c3374c9dd158ee1b;;Ivan Kupriyanov;;Fri Nov 15 18:23:01 2024 +0100;;Update future_changes.md;;1;;0;;0;;0;;0;;0
7baaba0cac7517384cca90ab96d2f43b53740da0;;Ivan Kupriyanov;;Fri Nov 15 15:30:44 2024 +0100;;Fix test;;1;;1;;0;;1;;1;;0
28893540551a889fec0107f49b97c1117ddbebc5;;Ivan Kupriyanov;;Fri Nov 15 14:52:27 2024 +0100;;Update future_changes.md;;2;;0;;0;;1;;0;;0
be8d61d2d41f743a545ecfb984f622254457e383;;Ivan Kupriyanov;;Fri Nov 15 14:51:16 2024 +0100;;Fix #1245;;10;;10;;0;;6;;6;;0
a10281e46c6ffc3dc0bc119f8ce3ec15cb2eb9a6;;Ivan Kupriyanov;;Fri Nov 15 14:06:32 2024 +0100;;Fix typo in Decimal.toFloating;;22;;22;;0;;1;;1;;0
f03ac14406d2f6600006206a0718765095da0e7e;;Artem Smirnov;;Thu Nov 14 13:22:10 2024 +0100;;Fix NumberFormat and NumericBreakFormatter (#1243);;5;;5;;0;;7;;7;;0
b1b7450b950074bd3a02cde85664d56541d0e12a;;Ivan Kupriyanov;;Tue Nov 12 18:13:12 2024 +0100;;Enable truncation for default FLOATING formatting because `g` no longer triggers this option by default;;1;;1;;0;;1;;1;;0
eb2e5255596b95ac201bc663f0db23f9eab76d1f;;Ivan Kupriyanov;;Tue Nov 12 17:47:41 2024 +0100;;NumberFormat bugfix (#1242);;1130;;1126;;0;;481;;481;;0
47f82e5c7f45743d407b37a7f4442b9f7e0dd69f;;Igor Alshannikov;;Mon Nov 4 16:34:23 2024 -0500;;Get rid of `@ThreadLocal`;;4;;4;;0;;13;;13;;0
6d95b8b7a61c87fed8f91ddc1c0f002bfcfbb3a0;;Igor Alshannikov;;Mon Nov 4 16:21:45 2024 -0500;;Fix #1228 : Make GeomMeta thread-safe.;;23;;20;;0;;33;;31;;0
eed5a635c4fdcdd64536df34cad3197a7f73c2db;;Ivan Kupriyanov;;Tue Oct 29 18:21:53 2024 +0100;;Fix long overflow in NumberFormat (#1233);;151;;151;;0;;121;;121;;0
cbb07b9b0d21760fe894b8c6552876d379050ca3;;Ivan Kupriyanov;;Mon Oct 28 15:06:09 2024 +0100;;Vega-Lite: log unused options, report them via computation messages (#1229);;489;;488;;0;;178;;177;;0
