hash;author;date;extension;additions;deletions
8e517da7949eaec302d90104064f037df8345cc4;Ivan Kupriyanov;Tue Oct 22 13:54:15 2024 +0200;kt;17;3
17585fffe32868aa4327d19970c7693a7b2dde72;Artem Smirnov;Tue Oct 22 13:30:28 2024 +0200;md;5;3
ca63ce66074ac3d84cfe22acf49fdb117a27e21b;Artem Smirnov;Tue Oct 22 12:20:20 2024 +0200;ipynb;2199;0
ca63ce66074ac3d84cfe22acf49fdb117a27e21b;Artem Smirnov;Tue Oct 22 12:20:20 2024 +0200;md;2;2
b98d4b383919d7c6642d1ba086abe057f1b42308;Artem Smirnov;Tue Oct 22 11:52:30 2024 +0200;ipynb;30;18
b98d4b383919d7c6642d1ba086abe057f1b42308;Artem Smirnov;Tue Oct 22 11:52:30 2024 +0200;py;11;69
b98d4b383919d7c6642d1ba086abe057f1b42308;Artem Smirnov;Tue Oct 22 11:52:30 2024 +0200;kt;6;3
02faa4b419644577af0ae54ea944e6ecf4657c0e;Igor Alshannikov;Mon Oct 21 20:36:32 2024 -0400;png;0;0
17dddf2b607ea4d83b195d4e1a7d95ce071123d8;Ivan Kupriyanov;Mon Oct 21 23:35:00 2024 +0200;kt;38;1
0f4fa7b5d04e1e353cf29116cc8eb1189d6ba8e8;Ivan Kupriyanov;Mon Oct 21 23:15:43 2024 +0200;kt;280;25
0d1d2530eb99d24978e2463ff14da4b971c2fb33;Igor Alshannikov;Mon Oct 21 15:39:56 2024 -0400;ipynb;14;37
263cd9ec69acf898d8e2c01cc5070b7ea3acfb76;Ivan Kupriyanov;Mon Oct 21 21:13:37 2024 +0200;kt;1;5
d31496e5e464a6227a5e872941167d47a9924396;Ivan Kupriyanov;Mon Oct 21 20:57:11 2024 +0200;kt;5;1
cf87cc71cf6794eb0cd05c88ecbeedc4e6b805d1;Ivan Kupriyanov;Mon Oct 21 20:38:49 2024 +0200;kt;154;52
b0b781fc5dbad4d73067fd2f7768fed206e451c6;Ivan Kupriyanov;Mon Oct 21 20:22:19 2024 +0200;kt;5;4
34036864fbc8ae1471757a2a545ebfa00649e464;Ivan Kupriyanov;Mon Oct 21 20:17:18 2024 +0200;md;1;0
5d06cb07908f294ebb15416beb9e9590eff83c76;Ivan Kupriyanov;Mon Oct 21 17:33:17 2024 +0200;kt;97;15
342ae5e65ccf6c4a0c6e6ea2d7caf5c72f55fb72;Ivan Kupriyanov;Mon Oct 21 16:04:41 2024 +0200;kt;41;13
82d4a5b466a0616c52aa75abbcf879ef088aac9f;Ivan Kupriyanov;Mon Oct 21 13:36:51 2024 +0200;kt;705;182
877d501755b8d524d443b7c827260c4642cf1da9;Igor Alshannikov;Sun Oct 20 21:12:49 2024 -0400;md;1;1
97ed1b50cf6001bbd1dc019ca033b40536db0b62;Igor Alshannikov;Sun Oct 20 21:10:20 2024 -0400;ipynb;301;42
97ed1b50cf6001bbd1dc019ca033b40536db0b62;Igor Alshannikov;Sun Oct 20 21:10:20 2024 -0400;md;1;1
97ed1b50cf6001bbd1dc019ca033b40536db0b62;Igor Alshannikov;Sun Oct 20 21:10:20 2024 -0400;yml;1;1
990cf17cc7f633b2b89a67055e70def9ff8c421a;Valentin Dovidaytis;Fri Oct 18 13:52:00 2024 +0200;kts;1;1
990cf17cc7f633b2b89a67055e70def9ff8c421a;Valentin Dovidaytis;Fri Oct 18 13:52:00 2024 +0200;py;1;1
c244299d36ee5b6544097706fe8e954e64abd9ae;Valentin Dovidaytis;Fri Oct 18 13:49:34 2024 +0200;js;1;1
c244299d36ee5b6544097706fe8e954e64abd9ae;Valentin Dovidaytis;Fri Oct 18 13:49:34 2024 +0200;kts;1;1
c244299d36ee5b6544097706fe8e954e64abd9ae;Valentin Dovidaytis;Fri Oct 18 13:49:34 2024 +0200;py;1;1
e9a65936a54ddf9a5da373bb1732c3a101487501;Igor Alshannikov;Thu Oct 17 19:53:42 2024 -0400;ipynb;4;4
6eea0d6871ffce9c8d6b83e5046f1d6423fd4b24;Igor Alshannikov;Thu Oct 17 19:41:09 2024 -0400;kt;8;8
787b05ee1048146b188e6feb3d9a874c11b293f4;Igor Alshannikov;Thu Oct 17 19:06:52 2024 -0400;ipynb;5;0
49391e8f627934fef95548a45b659701282dd188;Mikhail Koroteev;Fri Oct 18 00:08:18 2024 +0300;kt;4;4
6c7597bdf145db327b53231d8f948ed669f45bb9;Igor Alshannikov;Thu Oct 17 15:22:45 2024 -0400;ipynb;58;6
01fc65554248792fb7c52f79d3f4752b7e6b871e;Igor Alshannikov;Thu Oct 17 13:58:52 2024 -0400;png;0;0
0c5f5130985be3460880903e8237093de7c10bb9;Mikhail Koroteev;Thu Oct 17 20:45:30 2024 +0300;kt;12;11
3452e62443107a0c0977a39fe42fc478fb710d52;Valentin Dovidaytis;Thu Oct 17 15:24:53 2024 +0200;kts;1;1
3452e62443107a0c0977a39fe42fc478fb710d52;Valentin Dovidaytis;Thu Oct 17 15:24:53 2024 +0200;py;1;1
2142b64bfeed4b0d7946d477b04cf90fa23c28b1;Valentin Dovidaytis;Thu Oct 17 15:21:10 2024 +0200;js;1;1
2142b64bfeed4b0d7946d477b04cf90fa23c28b1;Valentin Dovidaytis;Thu Oct 17 15:21:10 2024 +0200;kts;1;1
2142b64bfeed4b0d7946d477b04cf90fa23c28b1;Valentin Dovidaytis;Thu Oct 17 15:21:10 2024 +0200;py;1;1
0f490bb1b2770d79107acb579d44ca81dfba4b4a;Olga Larionova;Thu Oct 17 14:16:23 2024 +0300;py;8;6
12cc44f1f5e7c5e85cf08cc2e6007732a8b30833;Olga Larionova;Thu Oct 17 13:36:37 2024 +0300;py;7;3
12cc44f1f5e7c5e85cf08cc2e6007732a8b30833;Olga Larionova;Thu Oct 17 13:36:37 2024 +0300;md;2;0
62dd2dd41b33e056738330305f55d589ed82e272;Olga Larionova;Thu Oct 17 12:45:37 2024 +0300;py;44;42
121d0b0410a7f3b594587cd4ad513765a1d8a426;Mikhail Koroteev;Thu Oct 17 12:54:02 2024 +0300;md;6;6
a921df34d2eaad996cd2ba5d1d750a7432693bd8;Mikhail Koroteev;Thu Oct 17 12:40:12 2024 +0300;kt;18;14
1589c77c84ba3ff76644ca0090138c7a30822bf0;Igor Alshannikov;Wed Oct 16 16:51:49 2024 -0400;md;1;1
be7989dca6d737f5c4ba086cb163fc6f688b33fe;Igor Alshannikov;Wed Oct 16 16:46:27 2024 -0400;md;41;33
f5cfa365d77b7b6715308ec11ed23f07cd4e1cd3;Igor Alshannikov;Wed Oct 16 16:01:37 2024 -0400;ipynb;411;0
f5cfa365d77b7b6715308ec11ed23f07cd4e1cd3;Igor Alshannikov;Wed Oct 16 16:01:37 2024 -0400;md;5;1
45099e2ab1e4ba5e2e552bf96422ec06007c7553;Valentin Dovidaytis;Wed Oct 16 19:19:47 2024 +0200;md;7;5
45099e2ab1e4ba5e2e552bf96422ec06007c7553;Valentin Dovidaytis;Wed Oct 16 19:19:47 2024 +0200;sh;1;1
45099e2ab1e4ba5e2e552bf96422ec06007c7553;Valentin Dovidaytis;Wed Oct 16 19:19:47 2024 +0200;py;1;0
26906f9796f65ad482f23ef9718f8480c55058ca;Olga Larionova;Wed Oct 16 18:43:44 2024 +0300;ipynb;302.0;84.0
26906f9796f65ad482f23ef9718f8480c55058ca;Olga Larionova;Wed Oct 16 18:43:44 2024 +0300;png;0.0;0.0
d1802785efb39b4319e4172507932cc97c213d8e;Igor Alshannikov;Wed Oct 16 12:15:44 2024 -0400;py;43;1
5382e400fdf53f690099ab56975f2d773bcc8694;Olga Larionova;Wed Oct 16 13:58:58 2024 +0300;ipynb;93.0;63.0
5382e400fdf53f690099ab56975f2d773bcc8694;Olga Larionova;Wed Oct 16 13:58:58 2024 +0300;md;1.0;1.0
5382e400fdf53f690099ab56975f2d773bcc8694;Olga Larionova;Wed Oct 16 13:58:58 2024 +0300;png;0.0;0.0
5c584e7687113f372b48dd7be64d93cb5fc1ed46;Ivan Kupriyanov;Wed Oct 16 12:42:20 2024 +0200;kt;33;34
230f75ed0ba0024535c6b6fbd6bb526c7b79f866;Ivan Kupriyanov;Wed Oct 16 12:35:56 2024 +0200;kt;8;5
f5af69befdd2fa963672d3b1d9992f3635f64840;Igor Alshannikov;Tue Oct 15 17:46:42 2024 -0400;kt;2;20
a0e38f405bfb380e348ae95970840deae5e4ac93;Ivan Kupriyanov;Tue Oct 15 23:23:35 2024 +0200;kt;8;8
d89de79d20da4aca9ca57277b90c241c2714e6a3;Ivan Kupriyanov;Tue Oct 15 23:22:14 2024 +0200;kt;38;4
901916c1fd9d44ed32426a379a2168c7c6529e03;Ivan Kupriyanov;Tue Oct 15 22:36:38 2024 +0200;kt;174;7
c93152f56edbaaa72e636bc337a2aa561fdb7038;Ivan Kupriyanov;Tue Oct 15 20:16:39 2024 +0200;kt;29;9
d513102522ca5333997e5c087e475194caf84fde;Igor Alshannikov;Tue Oct 15 12:23:30 2024 -0400;kt;435;150
d513102522ca5333997e5c087e475194caf84fde;Igor Alshannikov;Tue Oct 15 12:23:30 2024 -0400;py;6;5
da67dd3f549adfc0a2f5628db304df709cbcfa01;Valentin Dovidaytis;Tue Oct 15 12:40:56 2024 +0200;md;6;6
6a92cec005f70a6ea442e525ce73a344f036912c;Ivan Kupriyanov;Mon Oct 14 22:51:04 2024 +0200;kt;151;60
7181b2667c43de38e6d33f05ea46477de760c38b;Olga Larionova;Mon Oct 14 19:14:17 2024 +0300;ipynb;1132;0
7181b2667c43de38e6d33f05ea46477de760c38b;Olga Larionova;Mon Oct 14 19:14:17 2024 +0300;kt;225;77
7181b2667c43de38e6d33f05ea46477de760c38b;Olga Larionova;Mon Oct 14 19:14:17 2024 +0300;py;27;2
7181b2667c43de38e6d33f05ea46477de760c38b;Olga Larionova;Mon Oct 14 19:14:17 2024 +0300;md;4;0
9ac0ed8762a75472e2587ee270ff203bd79f72a0;Olga Larionova;Mon Oct 14 18:58:49 2024 +0300;ipynb;624;0
9ac0ed8762a75472e2587ee270ff203bd79f72a0;Olga Larionova;Mon Oct 14 18:58:49 2024 +0300;kt;253;8
9ac0ed8762a75472e2587ee270ff203bd79f72a0;Olga Larionova;Mon Oct 14 18:58:49 2024 +0300;py;9;2
9ac0ed8762a75472e2587ee270ff203bd79f72a0;Olga Larionova;Mon Oct 14 18:58:49 2024 +0300;md;8;1
8c9fa2d5709c4059abce4e05def3828a812484ea;Ivan Kupriyanov;Fri Oct 11 19:05:58 2024 +0200;kt;31;10
26e9ec78e2fd172781d0124b83f85b05b65942bc;Ivan Kupriyanov;Thu Oct 10 22:31:53 2024 +0200;ipynb;5;5
34608ff49013b300a605d28c5c62d977f1829acd;Ivan Kupriyanov;Thu Oct 10 22:31:04 2024 +0200;ipynb;63;89
34608ff49013b300a605d28c5c62d977f1829acd;Ivan Kupriyanov;Thu Oct 10 22:31:04 2024 +0200;md;2;1
660caffc05dcb5110ab89e26a2fce5995651157b;Ivan Kupriyanov;Thu Oct 10 22:05:15 2024 +0200;kt;87;70
c2b2aae0efdf75788a3d7aee01d1cab6d157db67;Ivan Kupriyanov;Thu Oct 10 16:51:26 2024 +0200;kt;34;20
da9102e4015e9cd11a6265c6d73389b624a98f4a;Ivan Kupriyanov;Thu Oct 10 14:56:59 2024 +0200;kt;1;0
99461b22062b0553e0de7c02e6024fd0cacc5699;Ivan Kupriyanov;Thu Oct 10 14:51:28 2024 +0200;kt;4;2
75f51cb45cce740dc1286c2772368f64f742a381;Ivan Kupriyanov;Thu Oct 10 14:20:08 2024 +0200;kt;46;3
37db20bc5fac6877dfbcbc12755c9967e1438404;Artem Smirnov;Thu Oct 10 14:03:03 2024 +0200;ipynb;511;0
37db20bc5fac6877dfbcbc12755c9967e1438404;Artem Smirnov;Thu Oct 10 14:03:03 2024 +0200;kt;416;59
37db20bc5fac6877dfbcbc12755c9967e1438404;Artem Smirnov;Thu Oct 10 14:03:03 2024 +0200;md;5;1
989b7d7aa29cf429ea62582dd1fc11b0af0f1bb1;Igor Alshannikov;Wed Oct 9 20:34:30 2024 -0400;kt;121;29
73a4a9eed6489b571897dc9620b979c6847de8da;Ivan Kupriyanov;Wed Oct 9 22:30:30 2024 +0200;kt;148;14
